temperatura,umidade,luminosidade,classe
22,60,3200,seguro
23,58,3150,seguro
24,62,3300,seguro
25,59,3100,seguro
21,65,3400,seguro
24,61,3250,seguro
26,57,3050,seguro
23,63,3350,seguro
22,64,3450,seguro
25,60,3200,seguro
24,59,3150,seguro
23,61,3250,seguro
22,58,3300,seguro
25,62,3400,seguro
24,60,3350,seguro
31,45,2500,alerta
32,42,2400,alerta
30,40,2300,alerta
17,45,2600,alerta
18,42,2450,alerta
33,38,2200,alerta
34,35,2100,alerta
16,48,2500,alerta
15,44,2350,alerta
29,39,2000,alerta
35,36,1900,alerta
18,41,2150,alerta
17,43,2250,alerta
34,39,2400,alerta
30,38,2300,alerta
42,15,800,critico
45,10,700,critico
48,12,600,critico
5,18,900,critico
4,15,750,critico
50,8,500,critico
43,11,650,critico
46,9,550,critico
3,20,950,critico
44,14,850,critico
49,7,400,critico
41,19,700,critico
47,10,500,critico
2,18,900,critico
45,12,600,critico
